ccode,Country,year,leadername,business,econ_finance,rgdpe,lnrgdpe,growth,cpg_sw2014,war,law,militarycareer,nato,business_add_close,econ_finance_close,business_nostate,business_exclude_lowlevel,rgdpo,expenditures_total,expenditures_total_million,expenditures_2014,nondefspend,nondefspend_ch,defspend_usa,defspend_ch_usa,diff_us,polconiii,polityfrompolity,polcon_abvmean,polcon_blwmean,cpg_mf,mids_per_yr,business_econ_finance,econ_finance_nobiz,def.exp,def.delta
350,Greece,2002,Simitis,0,1,294089.625,12.59163952,6.6229105,4,0,1,0,1,0,1,0,0,286008.8438,55424872185,55424,60172.13281,51323.13281,3.563065767,469486,12.28096199,-14.18762398,0.366082966,10,0,1,4,1,1,1,7423.194518,-1.906125519
350,Greece,2003,Simitis,0,1,299007.875,12.60822487,1.672363281,4,0,1,0,1,0,1,0,0,281547.1875,57081460265,57081,61971.08984,54390.08984,5.975779057,534351,13.81617355,-28.14547729,0.366082966,10,0,1,4,1,1,1,6359.579069,-14.32827129
350,Greece,2004,Konstantinos Karamanlis,0,0,316605.5938,12.66541195,5.885374546,2.453552008,0,1,0,1,0,0,0,0,292296.7188,59410150199,59410,64499.61328,56164.61328,3.262585878,582400,8.99202919,0.953887939,0.366082966,10,0,1,2.453552008,1,0,0,6992.016119,9.944636955
350,Greece,2005,Konstantinos Karamanlis,0,0,304389.6563,12.6260643,-3.858411312,2,0,NA,NA,1,0,0,0,0,286767.375,61843749007,61843,67141.04688,58128.04688,3.495855331,610176,4.769230843,3.365141869,0.363496423,10,0,1,2,1,0,0,7560.789536,8.134612495
350,Greece,2006,Konstantinos Karamanlis,0,0,330175.3125,12.70737934,8.471261978,2,0,NA,NA,1,0,0,0,0,306922.2188,66050151391,66050,71708.45313,62337.45313,7.241609573,619653,1.553158402,2.418881893,0.363496423,10,0,1,2,1,0,0,7861.123388,3.972255154
350,Greece,2007,Konstantinos Karamanlis,0,0,345324.9375,12.75224113,4.588353634,2,0,NA,NA,1,0,0,0,0,313367.2188,69613330993,69613,75576.69531,66213.69531,6.218159199,635921,2.625340223,-2.710710049,0.363496423,10,0,1,2,1,0,0,7854.883313,-0.079378916
350,Greece,2008,Konstantinos Karamanlis,0,0,357975.4688,12.78821945,3.663372993,2,0,NA,NA,1,0,0,0,0,326717.6563,67989939603,67989,73813.57031,63404.57031,-4.242513657,682967,7.398088932,3.773543835,0.414082378,10,0,1,2,0,0,0,8732.109979,11.16791467
350,Greece,2009,Konstantinos Karamanlis,0,0,351400.4063,12.76968193,-1.83673501,2.400000095,0,NA,NA,1,0,0,0,0,319695.6875,69365760662,69365,75307.45313,64394.45313,1.561216831,737747,8.020885468,-3.1789217,0.414082378,10,0,1,2.400000095,0,0,0,9155.263644,4.845949781
350,Greece,2010,Papandreou,0,0,326483.8125,12.69613552,-7.090658188,4,0,NA,NA,1,0,0,0,0,301925.1563,66474674834,66474,72168.78125,63781.78125,-0.951435804,757992,2.744165659,-25.89087105,0.410901248,10,0,1,4,1,0,0,7035.444001,-23.15410811
350,Greece,2011,Papandreou,0,0,293995.3438,12.59131908,-9.951019287,4,0,NA,NA,1,0,0,0,0,271560.8125,61807663179,61807,67101.96094,60349.96094,-5.380565166,748646,-1.232994556,-18.26146126,0.410901248,10,0,1,4,NA,0,0,5664.454397,-19.48689527
350,Greece,2012,Samaras,0,0,284763.625,12.55941486,-3.140091896,2.551912546,0,NA,NA,1,1,0,0,0,265921.0938,58099222781,58099,63076.30078,57104.30078,-5.378065109,706082,-5.685464382,-5.866668224,0.410901248,10,0,1,2.551912546,NA,0,0,5009.969358,-11.55424676
350,Greece,2013,Samaras,0,0,287361.0313,12.5684948,0.912129879,2,0,NA,NA,1,1,0,0,0,274454.0625,54352108874,54352,59008.29688,53431.29688,-6.432096958,650081,-7.931231976,1.317032337,0.410901248,10,0,1,2,NA,0,0,4678.367489,-6.618840269
350,Greece,2014,Samaras,0,0,285915.3125,12.56345081,-0.503098965,2,0,NA,NA,1,1,0,0,0,271556.4063,53601368212,53601,58192.96094,52661.96094,-1.439860106,609914,-6.178768635,5.353952408,0.410901248,10,0,1,2,NA,0,0,4640.187044,-0.81610615
385,Norway,1949,Gerhardsen,0,0,NA,NA,NA,4,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,130994,NA,NA,0.45979929,10,1,0,4,0,0,0,963.7484028,NA
385,Norway,1950,Gerhardsen,0,0,29013.49805,10.27551651,NA,4,0,0,0,1,0,0,0,0,29721.51563,NA,NA,NA,NA,NA,140780,7.470571041,-19.67595863,0.420006096,10,0,1,4,0,0,0,846.0726649,-12.21021353
385,Norway,1951,Gerhardsen,0,0,31066.77148,10.343894,7.076954842,4,0,0,0,1,0,0,0,0,31278.39844,NA,NA,NA,NA,NA,301216,113.9622116,-75.70717621,0.420006096,10,0,1,4,0,0,0,1170.302389,38.32173489
